age,isa_start,gia_start,sipp_start,w_isa,w_gia,w_sipp,income_tax,cgt,net_received,isa_end,gia_end,sipp_end
55,234154,33432,330933,40302,4700,0,0,2,45000,193851,28732,330933
56,203544,30168,347480,40405,4600,0,0,5,45000,163139,25568,347480
57,171296,26847,364854,23750,4450,16800,0,0,45000,147546,22397,348054
58,154923,23516,365457,23850,4350,16800,0,0,45000,131073,19166,348657
59,137627,20125,366090,23905,4300,16800,0,5,45000,113721,15825,349290
60,119407,16616,366754,24003,4200,16800,0,3,45000,95404,12416,349954
61,100174,13037,367452,24100,4100,16800,0,0,45000,76074,8937,350652
62,79878,9384,368184,24153,4050,16800,0,3,45000,55725,5334,351384
63,58511,5600,368953,24205,4000,16800,0,5,45000,34306,1600,352153
64,36021,1680,369761,26520,1680,16800,0,0,45000,9501,0,352961
65,9977,0,370609,9977,0,38239,3216,0,45000,0,0,332370
66,0,0,348988,0,0,49976,4976,0,45000,0,0,299012
67,0,0,313962,0,0,39156,5656,0,45000,0,0,274807
68,0,0,288547,0,0,39156,5656,0,45000,0,0,249391
69,0,0,261861,0,0,39156,5656,0,45000,0,0,222705
70,0,0,233840,0,0,39156,5656,0,45000,0,0,194684
71,0,0,204418,0,0,39156,5656,0,45000,0,0,165262
72,0,0,173525,0,0,39156,5656,0,45000,0,0,134370
73,0,0,141088,0,0,39156,5656,0,45000,0,0,101932
74,0,0,107029,0,0,39156,5656,0,45000,0,0,67873
75,0,0,71267,0,0,39156,5656,0,45000,0,0,32111
76,0,0,33716,0,0,33716,4840,0,40376,0,0,0
77,0,0,0,0,0,0,0,0,11500,0,0,0
78,0,0,0,0,0,0,0,0,11500,0,0,0
79,0,0,0,0,0,0,0,0,11500,0,0,0
80,0,0,0,0,0,0,0,0,11500,0,0,0
81,0,0,0,0,0,0,0,0,11500,0,0,0
82,0,0,0,0,0,0,0,0,11500,0,0,0
83,0,0,0,0,0,0,0,0,11500,0,0,0
84,0,0,0,0,0,0,0,0,11500,0,0,0
85,0,0,0,0,0,0,0,0,11500,0,0,0
86,0,0,0,0,0,0,0,0,11500,0,0,0
87,0,0,0,0,0,0,0,0,11500,0,0,0
88,0,0,0,0,0,0,0,0,11500,0,0,0
89,0,0,0,0,0,0,0,0,11500,0,0,0
90,0,0,0,0,0,0,0,0,11500,0,0,0
